LAKE,AREA_NAME,HAB_TYPE,HAB_DESC,LAT,LONG,DEPTH_FT,MARKED,BANK_ACC,DATE_INST
Doc Hollis,na,Brush Pile,cedars,34.992197,-99.795739,6,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.992197,-99.796285,5,N,Y,3/17/2022
Doc Hollis,na,Combination,brush and rock pile,34.992888,-99.794709,6,N,Y,3/17/2022
Doc Hollis,na,Gravel Pile,Rock pile,34.993056,-99.795501,5,N,Y,3/17/2022
Doc Hollis,na,Gravel Pile,gravel pile at makeshift road,34.991513,-99.795522,2,N,Y,3/17/2022
Doc Hollis,Fishing Dock,Combination,Stake bed and rock pile,34.990086,-99.790909,4,N,Y,8/3/2020
Doc Hollis,West side of dam,Combination,Stake bed and rock pile,34.989947,-99.793105,3,N,Y,8/3/2020
Doc Hollis,NA,Other,Stake bed,34.991161,-99.791121,3,N,Y,8/3/2020
Doc Hollis,NA,Other,Stake bed,34.990842,-99.791133,3,N,Y,8/3/2020
Dock Hollis,na,Brush Pile,cedars,34.993296,-99.79061,5,N,Y,3/17/2022
Dripping Springs,Campground,Brush Pile, ,35.5642,-96.108233,0,Y,Y,3/2/2010
Dustin,"Rock outcrop west bank, east of camping area",Combination,Cedar trees and 10 spider blocks,35.27354,-96.00522,10,N,Y,12/20/2019
Dustin,"Rock outcrop, west bank, southeast of pavillion",Brush Pile,Cedar trees,35.27244,-96.00512,10,N,Y,12/19/2019
Eagle,Beak Point,Spider Blocks, ,35.467222,-97.455833,6,Y,Y,1/1/2006
Eagle,Southeast Corner,Spider Blocks, ,35.467222,-97.451111,6,N,N,1/1/2006
Eagle,Boat Ramp,Spider Blocks, ,35.4675,-97.453889,6,N,Y,1/1/2006
Eagle,Blowout Point,Spider Blocks, ,35.468056,-97.457222,6,N,Y,1/1/2006
Eagle,East Dyke,Spider Blocks, ,35.468333,-97.450833,6,Y,Y,1/1/2006
Eagle,Thompson Point,Spider Blocks, ,35.469167,-97.455833,6,N,Y,1/1/2006
Eagle,Sunny Point,Spider Blocks, ,35.469444,-97.4525,6,Y,Y,1/1/2006
Eagle Lake,Boat Ramp Cove North,PVC Structure,PVC Cube,35.467348,-97.455063,6,N,Y,1/1/2023
Eagle Lake,Boat Ramp Cove North,PVC Structure,PVC Cube,35.467381,-97.454551,7,N,Y,1/1/2023
Eagle Lake,Boat Ramp Cove,PVC Structure,PVC Cube,35.466995,-97.453962,9,N,Y,1/1/2023
Eagle Lake,Boat Ramp Cove South,PVC Structure,PVC Cube,35.465992,-97.45551,6,N,Y,1/1/2023
Eagle Lake,Boat Ramp Cove South,PVC Structure,PVC Cube,35.466137,-97.456599,6,N,Y,1/1/2023
Eagle Lake,Boat Ramp Cove South,PVC Structure,PVC Cube,35.466569,-97.458218,7,N,Y,1/1/2023
Elk City,Elk City,PVC Structure,PVC,35.36439,-99.414976,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.364479,-99.414272,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.364425,-99.408557,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.365161,-99.409349,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.358596,-99.406622,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.356684,-99.41217,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.356093,-99.412189,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.355886,-99.412352,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.361682,-99.416338,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.366119,-99.416575,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.367719,-99.416082,0,N,Y,3/31/2025
Elk City,Elk City,PVC Structure,PVC,35.367549,-99.416391,0,N,Y,3/31/2025
Ellsworth,NA,Brush Pile,Cedars,34.79408,-98.33232,10,N,N,2/1/2021
Ellsworth,NA,Brush Pile,Cedars,34.79475,-98.32969,15,Y,N,2/1/2021
Ellsworth,NA,Brush Pile,Cedars,34.79561,-98.3289,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79606,-98.32845,8,Y,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79632,-98.32826,4,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79678,-98.328227,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79676,-98.33491,3,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79746,-98.33614,4,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79601,-98.33616,22,N,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79689,-98.337,25,Y,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79689,-98.33879,23,N,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79557,-98.3398,25,N,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.79485,-98.3389,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.80051,-98.33914,15,Y,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.80166,-98.33919,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.834,-98.3738,10,N,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.83448,-98.37462,10,N,N,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.83578,-98.37211,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.83227,-98.37184,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.83227,-98.37248,4,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.825824,-98.37025,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.826094,-98.37015,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.826301,-98.37026,5,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.826603,-98.3704,6,N,Y,2/1/2021
Ellsworth, ,Brush Pile,Cedars,34.80056,-98.3398,8,N,Y,2/1/2021
Elmer,Southwest Jetty,Brush Pile, ,35.879833,-97.988667,5,N,Y,<Null>
Elmer,West Dam,Brush Pile, ,35.8807,-97.9875,5,N,Y,<Null>
Elmer,End of 2nd Jetty East Side,Brush Pile, ,35.882233,-97.9905,5,N,Y,<Null>
Elmer,Middle 2nd & 3rd Jetty East,Brush Pile, ,35.882317,-97.990183,5,N,Y,<Null>
Elmer,Middle 2nd & 3rd Jettys West,Brush Pile, ,35.880517,-97.989833,6,N,Y,<Null>
Elmer,Middle 1st & 2nd Jettys East,Brush Pile, ,35.881683,-97.9901,6,N,Y,<Null>
Elmer,Middle 1st & 2nd Jetty North,Brush Pile, ,35.8834,-97.990383,6,N,Y,<Null>
